filename,actual_qmos,predicted_qmos,quality_error,absolute_quality_error,actual_artifacts,predicted_artifacts,actual_blur,predicted_blur,actual_contrast,predicted_contrast,actual_colors,predicted_colors,actual_other,predicted_other,error,absolute_error
2413968824.jpg,1.53125,2.9664743,1.4352243,1.4352243,0.734375,0.31620073,0.25,0.2722707,0.09375,0.14278978,0.09375,0.13519393,0.0,0.031807266,1.4352242999999998,1.4352242999999998
4980829250.jpg,2.546875,3.8635395,1.3166645,1.3166645,0.125,0.05678479,0.109375,0.07718825,0.453125,0.15040542,0.40625,0.09320819,0.0,0.015940083,1.3166645,1.3166645
3510063780.jpg,2.9677417,4.2097683,1.2420266,1.2420266,0.24193548,0.022008989,0.08064516,0.050432082,0.16129032,0.029655838,0.20967741,0.016326085,0.0,0.0025041897,1.2420266000000004,1.2420266000000004
4067961238.jpg,2.2807016,3.485788,1.2050865,1.2050865,0.7017544,0.08553749,0.21052632,0.12630655,0.1754386,0.11683202,0.07017544,0.06733934,0.0,0.021253942,1.2050864,1.2050864
8732646741.jpg,3.2307694,4.4154487,1.1846793,1.1846793,0.23076923,0.0108058825,0.26923078,0.013294276,0.25,0.033399884,0.17307693,0.012872942,0.0,0.0024710041,1.1846793,1.1846793
8040993311.jpg,2.0425532,3.1886675,1.1461143,1.1461143,0.10638298,0.10366918,0.70212764,0.5181791,0.10638298,0.09824125,0.23404256,0.073203854,0.0,0.013015447,1.1461143000000003,1.1461143000000003
6228242896.jpg,3.0677965,4.180726,1.1129296,1.1129296,0.06779661,0.03029267,0.5762712,0.043253645,0.13559322,0.0743197,0.033898305,0.062485028,0.016949153,0.014998706,1.1129295,1.1129295
352331466.jpg,2.1363637,3.2148967,1.0785329,1.0785329,0.10606061,0.119549066,0.8030303,0.21189624,0.16666667,0.22875531,0.28787878,0.23340616,0.0,0.029564472,1.0785330000000002,1.0785330000000002
9954707815.jpg,2.9523811,3.9923584,1.0399773,1.0399773,0.26984128,0.053507403,0.20634921,0.10193233,0.0952381,0.062414896,0.14285715,0.056213576,0.0,0.011387308,1.0399772999999999,1.0399772999999999
9156115930.jpg,2.530303,3.5540824,1.0237794,1.0237794,0.15151516,0.06643596,0.46969697,0.26416153,0.10606061,0.09627622,0.27272728,0.07552691,0.0,0.009361845,1.0237794,1.0237794
4603966605.jpg,2.423729,3.4466047,1.0228758,1.0228758,0.084745765,0.104848154,0.8305085,0.20134488,0.084745765,0.13893233,0.033898305,0.12896137,0.0,0.02146235,1.0228757000000002,1.0228757000000002
5091924028.jpg,1.8518518,2.848365,0.99651325,0.99651325,0.055555556,0.17677507,0.8333333,0.4818135,0.074074075,0.13689888,0.018518519,0.086358085,0.0,0.015441399,0.9965131999999999,0.9965131999999999
4049047636.jpg,1.9,2.88693,0.98693,0.98693,0.21666667,0.12338203,0.73333335,0.26614514,0.25,0.23696981,0.26666668,0.20238271,0.016666668,0.017811352,0.9869300000000001,0.9869300000000001
10689376076.jpg,3.2452831,4.2174177,0.9721346,0.9721346,0.1509434,0.027429655,0.35849056,0.07416285,0.13207547,0.044310108,0.2264151,0.02454759,0.0,0.010333549,0.9721346000000004,0.9721346000000004
6782624408.jpg,2.1724138,3.1344814,0.9620676,0.9620676,0.06896552,0.08232857,0.6034483,0.39346904,0.18965517,0.077581376,0.0862069,0.046824392,0.0,0.0047339015,0.9620675999999997,0.9620675999999997
46658329.jpg,3.3653846,4.3208103,0.95542574,0.95542574,0.15384616,0.017203962,0.15384616,0.029790228,0.09615385,0.034132592,0.03846154,0.01594526,0.0,0.0035147902,0.9554256999999997,0.9554256999999997
7170927811.jpg,2.8644066,3.8045058,0.94009924,0.94009924,0.59322035,0.061060593,0.16949153,0.059623145,0.084745765,0.094419315,0.16949153,0.055505015,0.0,0.011749671,0.9400991999999997,0.9400991999999997
6149327841.jpg,2.9245284,3.8567855,0.9322572,0.9322572,0.13207547,0.057654373,0.6226415,0.1084397,0.13207547,0.08746396,0.094339624,0.053452622,0.0,0.012867139,0.9322571000000002,0.9322571000000002
2251792086.jpg,3.309091,4.2368813,0.92779016,0.92779016,0.36363637,0.028001802,0.14545454,0.041653227,0.036363635,0.04553966,0.036363635,0.026164055,0.0,0.00880538,0.9277903000000003,0.9277903000000003
457397602.jpg,2.5762713,3.4964905,0.9202192,0.9202192,0.10169491,0.069779865,0.45762712,0.202337,0.16949153,0.13296157,0.55932206,0.17841704,0.0,0.017018884,0.9202192,0.9202192
